actual,pred,alive,title,male,culture,dateOfBirth,house,book1,book2,book3,book4,book5,isMarried,isNoble,numDeadRelations,boolDeadRelations,isPopular,popularity,target
1,1,0.881,Other,1,Other,260.0,Other,0,0,0,1,1,0,1,0,0,0,0.0802675585284281,0
0,0,0.073,Other,1,Other,268.0,Other,1,0,0,0,0,0,0,0,0,0,0.0568561872909698,1
0,0,0.0,Other,0,Other,116.0,Other,0,0,0,0,0,1,1,0,0,0,0.127090301003344,1
1,1,0.986,Other,0,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0133779264214046,0
0,0,0.145,Other,1,Other,268.0,Other,0,0,0,0,0,0,1,0,0,0,0.0535117056856187,1
0,1,0.746,Other,0,Other,268.0,Other,0,1,1,0,0,0,0,0,0,0,0.0234113712374581,1
0,0,0.476,Other,0,Other,256.0,Other,1,1,1,1,1,1,1,7,1,1,0.441471571906354,1
1,1,0.762,Other,1,Other,290.0,Other,0,0,1,1,0,0,0,0,0,0,0.0434782608695652,0
1,1,0.634,Other,1,Other,268.0,Other,1,1,1,1,1,0,1,0,0,0,0.0635451505016722,0
1,1,0.722,Other,0,Other,268.0,Other,0,0,0,1,1,0,1,0,0,0,0.0267558528428093,0
1,1,0.68,Other,0,Other,268.0,Other,1,1,1,1,1,0,0,0,0,0,0.0267558528428093,0
1,1,0.725,Other,1,Other,287.0,Other,0,1,1,1,0,0,0,0,0,0,0.0468227424749163,0
0,1,0.795,Other,1,Other,268.0,Other,0,0,1,0,0,0,0,0,0,0,0.0133779264214046,1
1,1,0.991,Other,1,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.0033444816053511,0
1,0,0.082,Other,1,Other,260.0,Other,0,1,1,1,1,1,1,1,1,1,0.969899665551839,0
1,1,0.703,Other,1,Other,241.0,Other,0,1,1,1,1,0,1,0,0,0,0.1438127090301,0
1,1,0.774,Other,0,Other,292.0,Other,0,1,1,1,0,0,0,0,0,0,0.0836120401337792,0
1,1,0.678,Other,1,Other,289.0,Other,0,1,1,1,1,0,0,0,0,0,0.0568561872909698,0
1,1,0.714,Other,0,Other,281.0,Other,0,0,0,1,1,0,0,0,0,0,0.0267558528428093,0
1,1,0.737,Other,0,Other,268.0,Other,1,0,0,0,0,0,0,0,0,0,0.0033444816053511,0
1,1,0.834,Other,1,Other,268.0,Other,0,1,0,1,1,0,1,0,0,0,0.120401337792642,0
1,0,0.255,Other,1,Other,268.0,Other,0,0,0,0,0,0,1,0,0,0,0.0367892976588628,0
1,1,0.764,Other,0,Other,264.0,Other,0,1,1,1,0,1,0,0,0,0,0.160535117056856,0
1,1,0.98,Other,1,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.0133779264214046,0
1,1,0.754,Other,0,Other,268.0,Other,0,1,1,1,1,1,1,0,0,0,0.0869565217391304,0
0,0,0.064,Other,1,Other,268.0,Other,0,0,0,0,0,0,0,15,1,1,0.675585284280936,1
1,1,0.835,Other,0,Other,268.0,Other,0,0,1,1,0,1,0,0,0,0,0.0167224080267558,0
1,0,0.062,Other,1,Other,264.0,Other,1,1,1,1,1,1,1,0,0,1,0.471571906354515,0
1,1,0.934,Other,0,Other,268.0,Other,1,1,1,1,1,0,1,0,0,0,0.0903010033444816,0
1,1,0.672,Other,0,Other,249.0,Other,0,1,1,1,0,1,0,0,0,0,0.107023411371237,0
1,1,0.947,Other,1,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0133779264214046,0
1,1,0.932,Other,0,Other,268.0,Other,0,0,0,0,1,0,1,0,0,0,0.0167224080267558,0
0,1,0.796,Other,1,Other,268.0,Other,0,1,0,0,0,0,1,0,0,0,0.0133779264214046,1
1,0,0.451,Other,0,Other,268.0,Other,0,1,1,1,1,1,1,0,0,0,0.0301003344481605,0
0,0,0.001,Other,1,Other,173.0,Other,0,0,0,0,0,1,1,3,1,0,0.0969899665551839,1
1,1,0.982,Other,1,Other,268.0,Other,0,1,0,1,0,0,0,0,0,0,0.0267558528428093,0
1,1,0.784,Other,1,Other,268.0,Other,0,0,0,1,1,0,1,0,0,0,0.0635451505016722,0
0,0,0.001,Other,1,Other,160.0,Other,0,0,0,0,0,1,1,0,0,1,0.414715719063545,1
1,0,0.477,Other,1,Other,268.0,Other,0,0,1,1,1,0,1,0,0,0,0.0301003344481605,0
0,1,0.856,Other,0,Other,268.0,Other,1,1,1,1,1,1,1,1,1,0,0.0802675585284281,1
1,1,0.718,Other,1,Other,268.0,Other,0,1,0,0,0,0,0,0,0,0,0.0133779264214046,0
1,1,0.958,Other,1,Other,268.0,Other,0,0,0,0,0,0,1,0,0,0,0.0066889632107023,0
0,1,0.543,Other,1,Other,268.0,Other,1,0,0,0,0,0,1,0,0,0,0.020066889632107,1
1,0,0.201,Other,0,Other,295.0,Other,0,0,1,0,0,0,0,0,0,0,0.0267558528428093,0
0,1,0.861,Other,1,Other,268.0,Other,0,0,1,1,1,0,0,0,0,0,0.0234113712374581,1
1,1,0.744,Other,0,Other,268.0,Other,0,0,0,1,0,0,0,0,0,0,0.040133779264214,0
1,0,0.085,Other,1,Other,268.0,Other,1,1,0,0,0,0,0,0,0,0,0.0334448160535117,0
